mu_TeV,mu_GeV,alpha_s_4loop,alpha_s_3loop
1.0,1000,0.088507,0.088527
1.1,1100,0.087662,0.087681
1.2,1200,0.086904,0.086923
1.3,1300,0.086219,0.086238
1.4,1400,0.085594,0.085613
1.5,1500,0.085021,0.085040
1.6,1600,0.084491,0.084510
1.7,1700,0.084000,0.084019
1.8,1800,0.083542,0.083560
1.9,1900,0.083114,0.083132
2.0,2000,0.082711,0.082729
2.1,2100,0.082332,0.082350
2.2,2200,0.081974,0.081992
2.3,2300,0.081635,0.081652
2.4,2400,0.081312,0.081330
2.5,2500,0.081006,0.081023
2.6,2600,0.080713,0.080730
2.7,2700,0.080434,0.080451
2.8,2800,0.080166,0.080183
2.9,2900,0.079910,0.079927
3.0,3000,0.079664,0.079681
3.1,3100,0.079427,0.079444
3.2,3200,0.079200,0.079216
3.3,3300,0.078980,0.078997
3.4,3400,0.078768,0.078785
3.5,3500,0.078564,0.078580
3.6,3600,0.078366,0.078383
3.7,3700,0.078175,0.078191
3.8,3800,0.077990,0.078006
3.9,3900,0.077810,0.077826
4.0,4000,0.077636,0.077652
4.1,4100,0.077466,0.077483
4.2,4200,0.077302,0.077318
4.3,4300,0.077142,0.077158
4.4,4400,0.076987,0.077003
4.5,4500,0.076835,0.076851
4.6,4600,0.076688,0.076703
4.7,4700,0.076544,0.076560
4.8,4800,0.076403,0.076419
4.9,4900,0.076267,0.076282
5.0,5000,0.076133,0.076149
5.1,5100,0.076002,0.076018
5.2,5200,0.075875,0.075891
5.3,5300,0.075750,0.075766
5.4,5400,0.075628,0.075644
5.5,5500,0.075509,0.075524
5.6,5600,0.075392,0.075408
5.7,5700,0.075278,0.075293
5.8,5800,0.075166,0.075181
5.9,5900,0.075056,0.075071
6.0,6000,0.074948,0.074964
6.1,6100,0.074843,0.074858
6.2,6200,0.074739,0.074754
6.3,6300,0.074637,0.074653
6.4,6400,0.074538,0.074553
6.5,6500,0.074440,0.074455
6.6,6600,0.074344,0.074359
6.7,6700,0.074249,0.074264
6.8,6800,0.074156,0.074171
6.9,6900,0.074065,0.074080
7.0,7000,0.073975,0.073990
7.1,7100,0.073887,0.073902
7.2,7200,0.073800,0.073815
7.3,7300,0.073715,0.073730
7.4,7400,0.073631,0.073645
7.5,7500,0.073548,0.073563
7.6,7600,0.073466,0.073481
7.7,7700,0.073386,0.073401
7.8,7800,0.073307,0.073322
7.9,7900,0.073229,0.073244
8.0,8000,0.073153,0.073167
8.1,8100,0.073077,0.073092
8.2,8200,0.073003,0.073017
8.3,8300,0.072929,0.072944
8.4,8400,0.072857,0.072871
8.5,8500,0.072785,0.072800
8.6,8600,0.072715,0.072729
8.7,8700,0.072645,0.072660
8.8,8800,0.072577,0.072591
8.9,8900,0.072509,0.072524
9.0,9000,0.072442,0.072457
9.1,9100,0.072377,0.072391
9.2,9200,0.072311,0.072326
9.3,9300,0.072247,0.072262
9.4,9400,0.072184,0.072198
9.5,9500,0.072121,0.072135
9.6,9600,0.072059,0.072073
9.7,9700,0.071998,0.072012
9.8,9800,0.071938,0.071952
9.9,9900,0.071878,0.071892
10.0,10000,0.071819,0.071833
